timestr I2C_SuccessRate
10288860392 0.8
10296080084 0.83
10303284297 0.74
10310500820 0.79
10317712144 0.89
10324909899 0.81
10332130601 0.82
10339335845 0.87
10346543600 0.88
10353758214 0.84
10360975003 0.84
10368188224 0.88
10375416530 0.83
10382622296 0.81
10389837965 0.79
10397034230 0.87
10404239848 0.78
10411460052 0.86
10418672298 0.82
10425882752 0.88
10433090535 0.83
10440291936 0.86
10447490448 0.88
10454706144 0.82
10461900448 0.82
10469130146 0.82
10476346575 0.87
10483556684 0.86
10490770057 0.87
10497980537 0.89
10505198753 0.82
10512411001 0.85
10519619988 0.85
10526825360 0.88
10534037919 0.85
10541238711 0.83
10548450142 0.87
10555664750 0.79
10562878141 0.89
10570073817 0.88
10577276351 0.78
10584487664 0.83
10591702293 0.87
10598897816 0.79
10606112209 0.88
10613310754 0.93
10620526933 0.87
10627748063 0.87
10634942057 0.85
10642154217 0.8
10649354915 0.87
10656550083 0.83
10663765297 0.85
10670969968 0.87
10678173539 0.81
10685380839 0.89
10692581309 0.86
10699798821 0.89
10707028552 0.84
10714241906 0.72
10721454372 0.84
10728666603 0.82
10735875883 0.79
10743091297 0.84
10750301527 0.78
10757503865 0.83
10764718535 0.88
10771919990 0.82
10779141967 0.84
10786352514 0.8
10793574670 0.88
10800792144 0.79
10807994970 0.74
10815203449 0.92
10822412839 0.88
10829626223 0.86
10836839599 0.84
10844060910 0.8
10851256785 0.86
10858449511 0.81
10865659777 0.71
10872867598 0.77
10880083903 0.86
10887279664 0.88
10894489995 0.74
10901702750 0.88
10908903383 0.87
10916125817 0.87
10923341971 0.86
10930543216 0.89
10937770535 0.84
10944985968 0.89
10952195988 0.88
10959417818 0.88
10966612600 0.8
10973835969 0.87
10981037534 0.84
10988248838 0.86
10995434535 0.89
11002651979 0.82
11009867512 0.82
11017068815 0.82
11024286533 0.81
11031489231 0.81
11038695080 0.83
11045905513 0.82
11053125296 0.84
11060327159 0.75
11067539664 0.81
11074729149 0.83
11081942627 0.79
11089117343 0.8
11096344022 0.78
11103547230 0.87
11110749818 0.85
11117963383 0.85
11125179156 0.87
11132393304 0.88
11139612885 0.88
11146823297 0.8
11154028001 0.87
11161250079 0.83
11168472599 0.87
11175666970 0.88
11182875666 0.8
11190085215 0.81
11197292747 0.85
11204514117 0.83
11211729688 0.92
11218939164 0.76
11226144585 0.82
11233341229 0.83
