timestr I2C_SuccessRate
8938318326 0.34
8944475972 0.23
8950876026 0.32
8957263655 0.42
8963544113 0.35
8969859317 0.33
8976125468 0.3
8982460267 0.33
8988688960 0.29
8995196808 0.37
9001477726 0.34
9007712853 0.28
9013913504 0.22
9020075660 0.24
9026358245 0.28
9032696352 0.32
9038907960 0.3
9045299322 0.35
9051680321 0.36
9058092566 0.37
9064385413 0.32
9070611808 0.26
9076914937 0.3
9083360806 0.42
9089653028 0.3
9096043982 0.35
9102413025 0.35
9108717807 0.33
9115101688 0.35
9121496353 0.33
9127798504 0.29
9134085936 0.29
9140335656 0.27
9146757242 0.35
9153173784 0.36
9159452722 0.29
9165866568 0.39
9172286662 0.38
9178608330 0.34
9184883629 0.3
9191200807 0.32
9197617656 0.35
9203976655 0.37
9210315653 0.28
9216714327 0.37
9223079514 0.37
9229384655 0.34
9235731345 0.35
9241994354 0.32
9248392939 0.34
9254576031 0.24
9260887023 0.34
9267258871 0.37
9273619807 0.35
9279883055 0.31
9286051352 0.23
9292316417 0.29
9298482436 0.24
9304885658 0.36
9311245723 0.37
9317675483 0.39
9323992519 0.31
9330291329 0.32
9336512654 0.27
9342955110 0.37
9349204936 0.31
9355654482 0.41
9362125032 0.4
9368459201 0.37
9374724634 0.3
9381055503 0.35
9387350241 0.32
9393564787 0.28
9399856657 0.32
9406177570 0.33
9412451960 0.28
9418851960 0.41
9425313674 0.41
9431559715 0.29
9437949567 0.37
9444243661 0.28
9450667810 0.34
9457113562 0.39
9463493172 0.39
9469870091 0.35
9476229872 0.36
9482628263 0.39
9488910328 0.29
9495255568 0.32
9501669175 0.36
9507849632 0.23
9514305318 0.4
9520471787 0.27
9526777023 0.31
9533140720 0.37
9539587176 0.41
9545899276 0.32
9552167424 0.33
9558488327 0.34
9564836354 0.35
9571250020 0.39
9577713794 0.46
9584006022 0.3
9590332871 0.32
9596645114 0.28
9602957950 0.33
9609259807 0.32
9615596053 0.36
9621844954 0.32
9628187120 0.33
9634497113 0.33
9640693111 0.28
9647022808 0.31
9653338633 0.3
9659788481 0.42
9666108416 0.34
9672445041 0.33
9678741135 0.33
9685062483 0.3
9691334246 0.28
9697679267 0.32
9703894576 0.29
9710272269 0.34
9716615123 0.33
9722887253 0.3
9729266749 0.32
9735562967 0.35
